id_venta,fecha,id_cliente,id_producto,cantidad,metodo_pago,estado,id_empleado,total_ventas
145,17/02/2024,250,32,6,5,Pendiente,128,"$109.800,00"
146,17/02/2024,95,18,5,1,Completa,103,"$199.500,00"
147,17/02/2024,280,7,4,3,Completa,121,"$102.800,00"
148,17/2/2024,8,31,6,3,Completa,116,"$109.800,00"
149,17/2/2024,326,2,5,5,Pendiente,131,"$199.500,00"
150,17/2/2024,224,29,2,1,Completa,101,"$43.000,00"
151,17/2/2024,46,26,5,4,Completa,127,"$199.500,00"
152,17/2/2024,97,8,3,4,Completa,109,"$176.700,00"
153,17/2/2024,82,38,1,3,Completa,124,"$8.990,00"
154,17/2/2024,31,15,6,5,Completa,113,"$109.800,00"
155,18/02/2024,320,27,2,3,Completa,126,"$43.000,00"
156,18/02/2024,17,23,5,4,Completa,104,"$199.500,00"
157,18/02/2024,25,13,5,5,Completa,118,"$199.500,00"
158,18/02/2024,221,29,1,5,Completa,115,"$8.990,00"
159,18/02/2024,44,21,4,5,Pendiente,129,"$102.800,00"
160,18/02/2024,90,23,1,5,Completa,108,"$8.990,00"
161,18/02/2024,274,14,2,5,Completa,122,"$43.000,00"
162,18/02/2024,37,27,3,1,Completa,111,"$176.700,00"
163,18/2/2024,77,11,6,5,Completa,119,"$109.800,00"
164,18/2/2024,171,17,4,4,Completa,106,"$102.800,00"
165,18/2/2024,145,38,4,3,Completa,112,"$102.800,00"
166,18/2/2024,63,27,4,5,Completa,107,"$102.800,00"
167,18/2/2024,252,15,4,5,Completa,123,"$102.800,00"
168,18/2/2024,269,7,2,1,Completa,105,"$43.000,00"
169,19/02/2024,66,30,2,5,Completa,117,"$43.000,00"
170,19/02/2024,249,27,5,1,Completa,130,"$199.500,00"
171,19/02/2024,131,13,5,4,Completa,102,"$199.500,00"
172,19/2/2024,1,29,4,4,Completa,125,"$102.800,00"
173,19/2/2024,266,7,3,4,Completa,110,"$176.700,00"
174,19/2/2024,116,29,5,2,Completa,132,"$199.500,00"
175,19/2/2024,139,11,2,5,Completa,107,"$43.000,00"
176,19/2/2024,210,37,2,1,Completa,120,"$43.000,00"
177,19/2/2024,128,9,1,5,Completa,114,"$8.990,00"
178,20/02/2024,237,25,6,1,Completa,128,"$109.800,00"
179,20/02/2024,31,11,2,3,Completa,103,"$43.000,00"
180,20/02/2024,30,29,5,1,Completa,121,"$199.500,00"
181,20/2/2024,27,11,5,4,Completa,116,"$199.500,00"
182,20/2/2024,48,12,5,1,Completa,131,"$199.500,00"
183,20/2/2024,239,8,4,5,Completa,101,"$102.800,00"
184,20/2/2024,13,2,4,4,Completa,127,"$102.800,00"
185,20/2/2024,57,35,2,1,Completa,109,"$43.000,00"
186,20/2/2024,28,11,1,3,Completa,124,"$8.990,00"
187,21/02/2024,186,2,1,4,Completa,113,"$8.990,00"
188,21/02/2024,175,14,1,1,Completa,126,"$8.990,00"
189,21/02/2024,13,14,2,4,Completa,104,"$43.000,00"
190,21/02/2024,273,7,4,1,Completa,118,"$102.800,00"
191,21/2/2024,312,9,3,3,Completa,115,"$176.700,00"
192,21/2/2024,249,33,3,5,Completa,129,"$176.700,00"
193,21/2/2024,19,2,5,4,Completa,108,"$199.500,00"
194,21/2/2024,226,5,4,4,Completa,122,"$102.800,00"
195,21/02/2024,175,14,1,1,Completa,111,"$8.990,00"
196,22/02/2024,103,12,2,3,Completa,119,"$43.000,00"
197,22/02/2024,32,5,3,3,Completa,106,"$176.700,00"
198,22/2/2024,106,38,6,5,Completa,112,"$109.800,00"
199,22/2/2024,143,32,1,5,Pendiente,105,"$8.990,00"
200,22/2/2024,81,9,4,1,Completa,123,"$102.800,00"
201,22/2/2024,184,32,4,1,Completa,105,"$102.800,00"
202,22/2/2024,236,23,1,1,Completa,117,"$8.990,00"
203,22/2/2024,20,28,6,5,Completa,130,"$109.800,00"
204,22/2/2024,262,1,2,5,Pendiente,102,"$43.000,00"
205,22/2/2024,55,14,3,5,Completa,125,"$176.700,00"
206,23/02/2024,91,4,5,2,Completa,110,"$199.500,00"
207,23/02/2024,279,10,4,2,Completa,132,"$102.800,00"
208,23/2/2024,166,38,2,4,Pendiente,107,"$43.000,00"
209,23/2/2024,247,4,2,4,Completa,120,"$43.000,00"
210,23/2/2024,229,34,2,4,Completa,114,"$43.000,00"
211,24/02/2024,176,37,1,5,Completa,128,"$8.990,00"
212,24/02/2024,273,13,1,4,Pendiente,103,"$8.990,00"
213,24/02/2024,109,7,3,3,Completa,121,"$176.700,00"
214,24/02/2024,124,30,1,2,Completa,116,"$8.990,00"
215,24/02/2024,218,11,1,4,Completa,131,"$8.990,00"
216,24/2/2024,31,38,2,5,Completa,101,"$43.000,00"
217,24/2/2024,75,23,4,5,Pendiente,127,"$102.800,00"
218,24/2/2024,230,1,4,5,Pendiente,109,"$102.800,00"
219,24/2/2024,142,7,3,5,Completa,124,"$176.700,00"
220,24/2/2024,57,3,5,5,Pendiente,113,"$199.500,00"
221,25/02/2024,308,10,1,4,Completa,126,"$8.990,00"
222,25/2/2024,209,33,2,5,Completa,104,"$43.000,00"
223,25/2/2024,162,17,1,3,Pendiente,118,"$8.990,00"
224,25/2/2024,82,1,4,4,Pendiente,115,"$102.800,00"
225,25/2/2024,228,1,2,3,Completa,129,"$43.000,00"
226,25/2/2024,166,9,4,3,Completa,108,"$102.800,00"
227,26/02/2024,183,26,2,4,Completa,122,"$43.000,00"
228,26/02/2024,169,3,1,3,Completa,111,"$8.990,00"
229,26/2/2024,22,25,6,1,Completa,119,"$109.800,00"
230,26/2/2024,291,32,4,4,Completa,106,"$102.800,00"
231,26/2/2024,73,23,1,4,Completa,112,"$8.990,00"
232,26/2/2024,108,3,3,1,Completa,111,"$176.700,00"
233,27/02/2024,64,14,2,4,Completa,123,"$43.000,00"
234,27/2/2024,37,38,6,5,Completa,105,"$109.800,00"
235,27/2/2024,16,22,1,4,Pendiente,117,"$8.990,00"
236,27/2/2024,85,16,6,4,Completa,130,"$109.800,00"
237,27/2/2024,266,26,3,5,Completa,102,"$176.700,00"
238,27/2/2024,35,22,5,1,Completa,125,"$199.500,00"
239,27/2/2024,34,19,1,4,Completa,110,"$8.990,00"
240,28/02/2024,6,10,2,3,Completa,132,"$43.000,00"
241,28/02/2024,66,6,6,4,Completa,107,"$109.800,00"
242,28/02/2024,20,26,4,4,Completa,120,"$102.800,00"
243,28/02/2024,256,25,6,5,Completa,114,"$109.800,00"
244,28/2/2024,95,33,1,5,Completa,128,"$8.990,00"
245,28/2/2024,117,17,1,5,Completa,103,"$8.990,00"
246,28/2/2024,316,35,2,1,Completa,121,"$43.000,00"
247,28/2/2024,274,25,4,3,Completa,116,"$102.800,00"
248,28/2/2024,301,15,5,4,Completa,131,"$199.500,00"
249,28/2/2024,138,23,4,3,Pendiente,101,"$102.800,00"
250,28/2/2024,187,25,4,5,Completa,127,"$102.800,00"
251,29/02/2024,31,21,3,3,Completa,109,"$176.700,00"
252,29/02/2024,169,32,5,5,Completa,124,"$199.500,00"
253,29/02/2024,115,4,5,4,Completa,113,"$199.500,00"
254,29/2/2024,48,30,6,4,Completa,126,"$109.800,00"
255,29/2/2024,119,21,1,3,Completa,104,"$8.990,00"
256,29/2/2024,95,13,2,3,Completa,118,"$43.000,00"
257,29/2/2024,265,14,2,4,Completa,115,"$43.000,00"
258,29/2/2024,278,12,3,5,Pendiente,129,"$176.700,00"
259,29/2/2024,84,20,6,3,Completa,108,"$109.800,00"
260,29/2/2024,221,7,2,4,Completa,122,"$43.000,00"
261,01/03/2024,97,27,3,5,Completa,111,"$176.700,00"
262,01/03/2024,31,38,3,3,Completa,119,"$176.700,00"
263,1/3/2024,255,27,3,5,Pendiente,106,"$176.700,00"
264,1/3/2024,58,2,1,4,Completa,112,"$8.990,00"
265,1/3/2024,36,14,2,5,Completa,119,"$43.000,00"
266,1/3/2024,255,8,1,3,Completa,123,"$8.990,00"
267,1/3/2024,134,18,1,4,Completa,105,"$8.990,00"
268,1/3/2024,117,19,5,1,Pendiente,117,"$199.500,00"
269,1/3/2024,71,5,6,3,Completa,130,"$109.800,00"
270,02/03/2024,144,23,5,2,Completa,102,"$199.500,00"
271,02/03/2024,292,19,6,4,Pendiente,125,"$109.800,00"
272,2/3/2024,276,25,5,3,Completa,110,"$199.500,00"
273,2/3/2024,163,5,3,5,Completa,132,"$176.700,00"
274,03/03/2024,67,14,5,4,Completa,107,"$199.500,00"
275,03/03/2024,90,8,5,5,Completa,120,"$199.500,00"
276,03/03/2024,208,12,1,3,Completa,114,"$8.990,00"
277,03/03/2024,308,28,4,5,Completa,128,"$102.800,00"
278,03/03/2024,197,38,3,4,Pendiente,103,"$176.700,00"
279,3/3/2024,37,26,1,5,Completa,121,"$8.990,00"
280,3/3/2024,97,12,3,4,Pendiente,116,"$176.700,00"
281,3/3/2024,67,5,1,4,Completa,131,"$8.990,00"
282,3/3/2024,42,29,5,5,Completa,101,"$199.500,00"
283,3/3/2024,160,33,6,3,Completa,127,"$109.800,00"
284,3/3/2024,132,22,6,5,Pendiente,109,"$109.800,00"
285,3/3/2024,221,22,6,5,Completa,124,"$109.800,00"
286,3/3/2024,62,26,4,5,Completa,113,"$102.800,00"
287,3/3/2024,271,32,1,4,Completa,126,"$8.990,00"
288,3/3/2024,17,1,2,2,Completa,104,"$43.000,00"
289,3/3/2024,64,32,1,4,Completa,118,"$8.990,00"
290,04/03/2024,27,11,5,4,Completa,115,"$199.500,00"
291,04/03/2024,158,1,3,4,Completa,129,"$176.700,00"
292,4/3/2024,326,14,1,3,Pendiente,108,"$8.990,00"
293,4/3/2024,149,21,5,5,Completa,122,"$199.500,00"
294,4/3/2024,80,2,5,3,Completa,111,"$199.500,00"
295,4/3/2024,283,10,6,5,Completa,119,"$109.800,00"
296,05/03/2024,123,31,4,2,Completa,106,"$102.800,00"
297,05/03/2024,7,12,5,3,Completa,112,"$199.500,00"
298,5/3/2024,8,14,5,3,Completa,118,"$199.500,00"
299,5/3/2024,112,26,2,4,Pendiente,123,"$43.000,00"
300,5/3/2024,85,34,5,5,Completa,105,"$199.500,00"
301,5/3/2024,68,2,5,1,Pendiente,117,"$199.500,00"
302,06/03/2024,240,23,3,3,Pendiente,130,"$176.700,00"
303,06/03/2024,68,24,6,4,Completa,102,"$109.800,00"
304,06/03/2024,307,17,3,3,Pendiente,125,"$176.700,00"
305,6/3/2024,292,34,2,5,Completa,110,"$43.000,00"
306,6/3/2024,193,2,1,3,Completa,132,"$8.990,00"
307,6/3/2024,321,7,1,1,Completa,107,"$8.990,00"
308,6/3/2024,36,20,6,5,Pendiente,120,"$109.800,00"
309,07/03/2024,215,35,3,4,Completa,114,"$176.700,00"
310,07/03/2024,104,23,5,1,Pendiente,128,"$199.500,00"
311,07/03/2024,46,20,2,5,Completa,103,"$43.000,00"
312,07/03/2024,148,7,3,5,Completa,121,"$176.700,00"
313,7/3/2024,58,22,2,4,Pendiente,116,"$43.000,00"
314,7/3/2024,23,25,4,4,Completa,131,"$102.800,00"
315,7/3/2024,309,13,5,4,Completa,101,"$199.500,00"
316,7/3/2024,32,4,2,4,Completa,127,"$43.000,00"
317,7/3/2024,193,26,5,1,Completa,109,"$199.500,00"
318,7/3/2024,255,3,1,4,Completa,124,"$8.990,00"
319,7/3/2024,38,36,4,1,Completa,113,"$102.800,00"
320,7/3/2024,222,17,2,4,Completa,126,"$43.000,00"
321,7/3/2024,311,4,6,3,Completa,104,"$109.800,00"
322,08/03/2024,108,13,1,2,Completa,118,"$8.990,00"
323,08/03/2024,307,29,5,2,Completa,115,"$199.500,00"
324,08/03/2024,257,21,6,3,Completa,129,"$109.800,00"
325,08/03/2024,42,23,3,2,Completa,108,"$176.700,00"
326,8/3/2024,91,35,6,5,Completa,122,"$109.800,00"
327,8/3/2024,299,17,4,2,Completa,111,"$102.800,00"
328,8/3/2024,25,26,5,4,Pendiente,119,"$199.500,00"
329,8/3/2024,203,30,1,4,Completa,106,"$8.990,00"
330,09/03/2024,30,15,2,4,Completa,112,"$43.000,00"
331,09/03/2024,164,9,6,5,Completa,122,"$109.800,00"
332,09/03/2024,119,24,6,1,Completa,123,"$109.800,00"
333,9/3/2024,206,14,3,5,Pendiente,105,"$176.700,00"
334,9/3/2024,180,2,2,4,Completa,117,"$43.000,00"
335,9/3/2024,87,36,1,4,Completa,130,"$8.990,00"
336,9/3/2024,33,24,6,3,Completa,102,"$109.800,00"
337,10/03/2024,62,9,6,3,Completa,125,"$109.800,00"
338,10/03/2024,64,11,5,4,Completa,110,"$199.500,00"
339,10/3/2024,164,13,6,1,Completa,132,"$109.800,00"
340,10/3/2024,230,26,5,4,Completa,107,"$199.500,00"
341,10/3/2024,217,37,2,1,Completa,120,"$43.000,00"
342,10/3/2024,11,31,6,5,Pendiente,114,"$109.800,00"
343,11/03/2024,172,2,1,1,Completa,128,"$8.990,00"
344,11/3/2024,67,25,5,4,Pendiente,103,"$199.500,00"
345,11/3/2024,238,23,2,2,Completa,121,"$43.000,00"
346,11/3/2024,206,9,2,4,Completa,116,"$43.000,00"
347,11/3/2024,215,11,3,3,Completa,131,"$176.700,00"
348,11/3/2024,278,2,2,2,Completa,101,"$43.000,00"
349,12/03/2024,211,15,5,1,Completa,127,"$199.500,00"
350,12/03/2024,213,29,6,4,Completa,109,"$109.800,00"
351,12/3/2024,49,13,6,4,Completa,124,"$109.800,00"
352,12/3/2024,69,6,6,5,Completa,113,"$109.800,00"
353,12/3/2024,49,11,5,4,Completa,126,"$199.500,00"
354,12/3/2024,30,3,6,1,Completa,104,"$109.800,00"
355,12/3/2024,117,9,2,3,Pendiente,118,"$43.000,00"
356,12/3/2024,147,31,6,3,Completa,115,"$109.800,00"
357,13/03/2024,100,17,4,4,Completa,129,"$102.800,00"
358,13/03/2024,262,3,6,2,Completa,108,"$109.800,00"
359,13/03/2024,35,6,5,3,Completa,122,"$199.500,00"
360,13/03/2024,81,12,4,4,Completa,111,"$102.800,00"
361,13/03/2024,81,3,5,1,Completa,119,"$199.500,00"
362,13/3/2024,303,11,5,2,Completa,106,"$199.500,00"
363,13/3/2024,167,10,1,2,Completa,112,"$8.990,00"
364,13/3/2024,74,18,5,3,Completa,120,"$199.500,00"
365,13/3/2024,54,1,3,5,Completa,123,"$176.700,00"
366,13/3/2024,213,35,1,1,Completa,105,"$8.990,00"
367,14/03/2024,267,2,1,3,Completa,117,"$8.990,00"
368,14/03/2024,173,13,5,3,Completa,130,"$199.500,00"
369,14/03/2024,104,38,3,4,Pendiente,102,"$176.700,00"
370,14/03/2024,251,9,5,2,Completa,125,"$199.500,00"
371,14/03/2024,185,17,2,1,Completa,110,"$43.000,00"
372,14/3/2024,78,1,3,5,Completa,132,"$176.700,00"
373,14/3/2024,291,1,6,1,Completa,107,"$109.800,00"
374,14/3/2024,138,37,1,1,Completa,120,"$8.990,00"
375,14/3/2024,15,10,5,4,Completa,114,"$199.500,00"
376,14/3/2024,233,12,1,4,Completa,128,"$8.990,00"
377,14/3/2024,134,7,3,3,Completa,103,"$176.700,00"
378,15/03/2024,31,3,2,4,Completa,121,"$43.000,00"
379,15/3/2024,157,23,3,1,Completa,116,"$176.700,00"
380,15/3/2024,313,34,4,1,Completa,131,"$102.800,00"
381,15/3/2024,14,18,3,5,Pendiente,101,"$176.700,00"
382,15/3/2024,211,16,2,5,Completa,127,"$43.000,00"
383,15/3/2024,143,8,3,3,Completa,109,"$176.700,00"
384,15/3/2024,283,11,4,4,Completa,124,"$102.800,00"
385,15/3/2024,299,3,5,3,Completa,113,"$199.500,00"
386,15/3/2024,55,28,1,5,Completa,126,"$8.990,00"
387,15/3/2024,28,7,6,4,Completa,104,"$109.800,00"
388,15/3/2024,11,38,6,4,Completa,118,"$109.800,00"
389,16/03/2024,125,34,6,1,Completa,115,"$109.800,00"
390,16/03/2024,259,32,5,5,Completa,129,"$199.500,00"
391,16/03/2024,226,30,4,4,Pendiente,108,"$102.800,00"
392,16/3/2024,111,26,5,4,Completa,122,"$199.500,00"
393,16/3/2024,232,20,3,3,Completa,111,"$176.700,00"
394,16/3/2024,65,16,2,3,Completa,119,"$43.000,00"
395,16/3/2024,77,21,1,3,Completa,106,"$8.990,00"
396,16/3/2024,200,22,5,4,Completa,112,"$199.500,00"
397,16/3/2024,68,16,1,4,Completa,113,"$8.990,00"
398,16/3/2024,63,34,6,5,Completa,123,"$109.800,00"
399,16/3/2024,87,11,6,5,Completa,105,"$109.800,00"
400,16/3/2024,108,30,5,4,Completa,117,"$199.500,00"
401,16/3/2024,224,7,5,4,Completa,130,"$199.500,00"
402,16/3/2024,229,32,1,4,Completa,102,"$8.990,00"
403,17/03/2024,179,10,3,4,Completa,125,"$176.700,00"
404,17/03/2024,246,8,2,5,Completa,110,"$43.000,00"
405,17/03/2024,321,15,6,5,Completa,132,"$109.800,00"
406,17/03/2024,312,16,5,2,Pendiente,107,"$199.500,00"
407,17/3/2024,88,34,3,5,Pendiente,120,"$176.700,00"
408,17/3/2024,295,32,6,3,Completa,114,"$109.800,00"
409,17/3/2024,323,25,5,3,Completa,128,"$199.500,00"
410,17/3/2024,48,38,4,4,Completa,103,"$102.800,00"
411,17/3/2024,44,21,3,5,Completa,121,"$176.700,00"
412,17/3/2024,305,4,6,4,Completa,116,"$109.800,00"
413,17/3/2024,109,29,3,3,Completa,131,"$176.700,00"
414,18/03/2024,151,35,3,5,Completa,101,"$176.700,00"
415,18/3/2024,313,32,4,5,Completa,127,"$102.800,00"
416,18/3/2024,37,2,3,1,Completa,109,"$176.700,00"
417,18/3/2024,8,19,2,1,Completa,124,"$43.000,00"
418,18/3/2024,50,31,6,4,Completa,113,"$109.800,00"
419,18/3/2024,17,35,5,3,Pendiente,126,"$199.500,00"
420,18/3/2024,36,11,2,4,Completa,104,"$43.000,00"
421,19/03/2024,122,30,2,4,Completa,118,"$43.000,00"
422,19/03/2024,66,29,3,1,Completa,115,"$176.700,00"
423,19/3/2024,71,23,5,1,Pendiente,129,"$199.500,00"
424,19/3/2024,113,3,2,5,Completa,108,"$43.000,00"
425,19/3/2024,92,15,4,3,Completa,122,"$102.800,00"
426,19/3/2024,119,22,4,2,Pendiente,111,"$102.800,00"
427,19/3/2024,99,15,4,4,Completa,119,"$102.800,00"
428,19/3/2024,323,19,1,1,Completa,106,"$8.990,00"
429,19/3/2024,195,14,5,2,Completa,112,"$199.500,00"
430,20/03/2024,26,25,4,5,Completa,122,"$102.800,00"
